Label,Founding Year,Entity Type,Type,Image,Website,Twitter,Facebook,LinkedIn,Instagram,Ecosystem Level,MIT Pillars                ,Verticals                        ,Innovation Pipeline Stage                                                                        ,Stakeholder Type                                                                        ,Tags,Location,Node Size,Programs Participated In
MIT WISDM,2020,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1410602723557339141/uDv7E7r7_400x400.jpg,https://innovation.mit.edu/wisdm/,,,,,Massachusetts Institute of Technology,Innovation,,Mentorship,Academia,Massachusetts Institute of Technology|Mentorship|Academia,"292 Main St, Cambridge, MA 02142",2,
MIT-Africa,,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1234591235446169600/9kH2LbuB_400x400.jpg,https://misti.mit.edu/mit-africa,https://twitter.com/MISTIatMIT,https://www.facebook.com/MISTIatMIT,,https://www.instagram.com/mistiatmit,"MIT School of Humanities, Arts, and Social Sciences",,,,Academia,"MIT School of Humanities, Arts, and Social Sciences|Academia","1 Amherst St, Cambridge, MA 02139",1,
MIT-Arab World,,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1234591235446169600/9kH2LbuB_400x400.jpg,https://misti.mit.edu/mit-arab-world,https://twitter.com/MISTIatMIT,https://www.facebook.com/MISTIatMIT,,https://www.instagram.com/mistiatmit,"MIT School of Humanities, Arts, and Social Sciences",,,,Academia,"MIT School of Humanities, Arts, and Social Sciences|Academia","1 Amherst St, Cambridge, MA 02139",1,
MIT-Australia and New Zealand,,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1234591235446169600/9kH2LbuB_400x400.jpg,https://misti.mit.edu/mit-australia-and-new-zealand,https://twitter.com/MISTIatMIT,https://www.facebook.com/MISTIatMIT,,https://www.instagram.com/mistiatmit,"MIT School of Humanities, Arts, and Social Sciences",,,,Academia,"MIT School of Humanities, Arts, and Social Sciences|Academia","1 Amherst St, Cambridge, MA 02139",1,
MIT-Belgium,,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1234591235446169600/9kH2LbuB_400x400.jpg,https://misti.mit.edu/mit-belgium,https://twitter.com/MISTIatMIT,https://www.facebook.com/MISTIatMIT,,https://www.instagram.com/mistiatmit,"MIT School of Humanities, Arts, and Social Sciences",,,,Academia,"MIT School of Humanities, Arts, and Social Sciences|Academia","1 Amherst St, Cambridge, MA 02139",1,
MIT-Brazil,,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1234591235446169600/9kH2LbuB_400x400.jpg,https://misti.mit.edu/mit-brazil,https://twitter.com/MISTIatMIT,https://www.facebook.com/MISTIatMIT,,https://www.instagram.com/mistiatmit,"MIT School of Humanities, Arts, and Social Sciences",,,,Academia,"MIT School of Humanities, Arts, and Social Sciences|Academia","1 Amherst St, Cambridge, MA 02139",1,
MIT-Chile,,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1234591235446169600/9kH2LbuB_400x400.jpg,https://misti.mit.edu/mit-chile,https://twitter.com/MISTIatMIT,https://www.facebook.com/MISTIatMIT,,https://www.instagram.com/mistiatmit,"MIT School of Humanities, Arts, and Social Sciences",,,,Academia,"MIT School of Humanities, Arts, and Social Sciences|Academia","1 Amherst St, Cambridge, MA 02139",1,
MIT-China,,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1234591235446169600/9kH2LbuB_400x400.jpg,https://misti.mit.edu/mit-china,https://twitter.com/MISTIatMIT,https://www.facebook.com/MISTIatMIT,,https://www.instagram.com/mistiatmit,"MIT School of Humanities, Arts, and Social Sciences",,,,Academia,"MIT School of Humanities, Arts, and Social Sciences|Academia","1 Amherst St, Cambridge, MA 02139",1,
MIT-Colombia,,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1234591235446169600/9kH2LbuB_400x400.jpg,https://misti.mit.edu/mit-colombia,https://twitter.com/MISTIatMIT,https://www.facebook.com/MISTIatMIT,,https://www.instagram.com/mistiatmit,"MIT School of Humanities, Arts, and Social Sciences",,,,Academia,"MIT School of Humanities, Arts, and Social Sciences|Academia","1 Amherst St, Cambridge, MA 02139",1,
MIT-Denmark,,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1234591235446169600/9kH2LbuB_400x400.jpg,https://misti.mit.edu/mit-denmarkk,https://twitter.com/MISTIatMIT,https://www.facebook.com/MISTIatMIT,,https://www.instagram.com/mistiatmit,"MIT School of Humanities, Arts, and Social Sciences",,,,Academia,"MIT School of Humanities, Arts, and Social Sciences|Academia","1 Amherst St, Cambridge, MA 02139",1,
MIT-France,,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1234591235446169600/9kH2LbuB_400x400.jpg,https://misti.mit.edu/mit-france,https://twitter.com/MISTIatMIT,https://www.facebook.com/MISTIatMIT,,https://www.instagram.com/mistiatmit,"MIT School of Humanities, Arts, and Social Sciences",,,,Academia,"MIT School of Humanities, Arts, and Social Sciences|Academia","1 Amherst St, Cambridge, MA 02139",1,
MIT-Germany,,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1234591235446169600/9kH2LbuB_400x400.jpg,https://misti.mit.edu/mit-germany,https://twitter.com/MISTIatMIT,https://www.facebook.com/MISTIatMIT,,https://www.instagram.com/mistiatmit,"MIT School of Humanities, Arts, and Social Sciences",,,,Academia,"MIT School of Humanities, Arts, and Social Sciences|Academia","1 Amherst St, Cambridge, MA 02139",1,
